Township,Area,State,Median_PSF,Freehold,Leasehold,Terrace House,Cluster House,Semi D,Bungalow,Service Residence,Flat,Town House,Apartment,Condominium,Price
BANDAR PUNCAK SENA,Pokok Sena,Kedah,267,1,0,1,0,0,0,0,0,0,0,0,326800
TAMAN BERCHAM RAYA,Tambun,Perak,177,0,1,1,0,0,0,0,0,0,0,0,194000
Seremban Putra,Sikamat,Negeri Sembilan,221,1,0,0,0,0,0,0,0,0,1,0,185000
TAMAN BUKIT KATIL DAMAI,Bukit Katil,Melaka,338,0,1,1,0,1,0,0,0,0,0,0,488000
Prima Regency,Johor Bahru,Johor,332,1,0,0,0,0,0,0,0,0,1,0,351500
VISTA IXORA,Ipoh,Perak,296,0,1,1,0,0,0,0,0,0,0,0,398380
BISTARI PERDANA,Pasir Gudang,Johor,384,1,0,1,0,0,0,0,0,0,0,0,460000
Pelangi Damansara,Bandar Utama,Selangor,576,0,1,0,0,0,0,0,0,0,1,0,450000
TAMAN ILMU,Nibong Tebal,Penang,251,1,0,1,1,0,0,0,0,0,0,0,310500
DESA RESTU,Sepang,Selangor,437,0,1,1,0,0,0,0,0,0,0,0,575000
Taman Seruling Emas,Sungai Jawi,Penang,100,1,0,0,0,0,0,0,1,0,0,0,55000
LAKEVIEW RESIDENCE,Bidor,Perak,150,0,1,0,1,0,0,0,0,0,0,0,398700
TAMAN SRI SKUDAI,Skudai,Johor,283,1,0,1,0,0,0,0,0,0,0,0,400000
TAMAN BUKIT FLORA,Batu Pahat,Johor,236,1,0,1,0,0,0,0,0,0,0,0,245000
Petaling Indah Condominiums,Sri Petaling,Kuala Lumpur,297,0,1,0,0,0,0,0,0,0,0,1,298850
TAMAN DESA INDAH,Nilai,Negeri Sembilan,239,1,0,1,0,0,0,0,0,0,0,0,393000
Akasia,Klang,Selangor,505,1,0,0,0,0,0,0,0,0,1,0,380000
N-Park Condominium,Gelugor,Penang,471,1,0,0,0,0,0,0,0,0,0,1,330000
TAMAN SERI PAYA RUMPUT,Sungei Baru Tengah,Melaka,174,1,0,1,0,0,0,0,0,0,0,0,260000
Sunway Court,Bandar Sunway,Selangor,392,0,1,0,0,0,0,0,0,0,1,0,380000
Desa Sri Puteri,Desa Petaling,Kuala Lumpur,216,0,1,0,0,0,0,0,1,0,0,0,130000
TAMAN TASEK,Johor Bahru,Johor,250,1,0,1,0,1,0,0,0,0,0,0,615000
TAMAN RIMBA (PEC LOT 3021),Mentakab,Pahang,185,1,0,1,0,0,0,0,0,0,0,0,308000
TAMAN PERWIRA JAYA,Tapah,Perak,121,0,1,1,0,0,0,0,0,0,0,0,169000
Taman Sri Harmoni,Kuching,Sarawak,133,0,1,0,0,0,0,0,1,0,0,0,66000
TAMAN FAJAR,Sandakan,Sabah,222,0,1,1,0,0,0,0,0,0,0,0,320000
TAMAN SRI PALOH,Paloh,Johor,200,1,0,1,0,1,0,0,0,0,0,0,308000
BANDAR BARU SEGARI,Lumut,Perak,156,0,1,0,1,0,0,0,0,0,0,0,328000
P/L 174132 INDERA MAHKOTA,Kuantan,Pahang,276,1,0,1,0,0,0,0,0,0,0,0,392000
TAMAN JELITA BLOK 30,Miri,Sarawak,179,0,1,1,0,0,0,0,0,0,0,0,180000
RUMAH MAKMUR KAMPUNG TIRAM,Kuantan,Pahang,73,0,1,1,0,0,0,0,0,0,0,0,80000
TAMAN SELASIH INDAH,Kulim,Kedah,387,1,0,1,0,0,0,0,0,0,0,0,542200
Larkin Heights,Johor Bahru,Johor,388,0,1,0,0,0,0,1,0,0,0,0,388000
TAMAN SUNGAI KAPAR INDAH,Kapar,Selangor,346,1,0,1,0,0,0,0,0,0,0,0,450000
Warisan City View,Cheras,Kuala Lumpur,451,0,1,0,0,0,0,0,0,0,0,1,410000
TIMUR,Bandar Enstek,Negeri Sembilan,264,1,0,1,0,0,0,0,0,0,0,0,570000
M SENYUM SALAK TINGGI,Sepang,Selangor,463,0,1,1,0,0,0,0,0,0,0,0,555210
KUALA BESUT,Besut,Terengganu,190,1,0,1,0,1,1,0,0,0,0,0,335000
Koi Kinrara,Puchong,Selangor,532,1,0,0,0,0,0,1,0,0,0,0,560000
TAMAN JOHOR,Tampoi,Johor,259,1,0,1,0,0,1,0,0,0,0,0,500000
TAMAN PELANGI SEMENYIH 2,Beranang,Selangor,338,1,0,1,0,0,0,0,0,0,0,0,505000
TAMAN KELADI FASA 1,Sungai Petani,Kedah,152,1,0,1,0,0,0,0,0,0,0,0,200000
TAMAN SERI ROTAN,Kuala Kedah,Kedah,147,1,0,0,0,1,0,0,0,0,0,0,379505
"TAMAN IDAMAN, SUNGAI SEGAMAT",Segamat,Johor,81,0,1,1,0,0,0,0,0,0,0,0,117500
Skyridge Garden,Tanjong Tokong,Penang,633,1,0,0,0,0,0,0,0,0,0,1,835000
TAMAN RIA JAYA FASA 2,Sungai Petani,Kedah,146,1,0,1,0,0,0,0,0,0,0,0,197500
TAMAN MELAWATI,Ulu Klang,Selangor,483,1,0,1,0,1,0,0,0,0,0,0,686000
TAMAN IMPIAN JAYA,Senai,Johor,142,0,1,1,0,0,0,0,0,0,0,0,411000
TAMAN AMAN,Kulai,Johor,253,1,0,1,0,0,0,0,0,0,0,0,280000
Rumah Pangsa College Heights Pajam,Mantin,Negeri Sembilan,114,1,0,0,0,0,0,0,1,0,0,0,70000
TAMAN SRI JAYA 1 & 2,Kluang,Johor,169,1,0,1,0,0,0,0,0,0,0,0,250000
TAMAN JUMBO,Penampang,Sabah,390,0,1,1,0,0,0,0,0,0,0,0,350000
"TAMAN PESONA, SUNGAI SEGAMAT",Segamat,Johor,190,1,0,1,0,0,0,0,0,0,0,0,363500
TAMAN SERI IPIL,Nibong Tebal,Penang,185,1,0,0,0,1,1,0,0,0,0,0,520000
TAMAN CEMPAKA,Ipoh,Perak,202,1,1,1,0,0,0,0,0,0,0,0,199000
TAMAN KLEBANG JAYA,Chemor,Perak,167,0,1,1,0,0,0,0,0,0,0,0,200000
TAMAN MANGGIS JAYA,Banting,Selangor,270,1,0,1,0,1,0,0,0,0,0,0,442500
PELABUHAN KLANG,Port Klang,Selangor,249,1,0,1,0,0,0,0,0,0,0,0,420000
TAMAN PENAGA,Penaga,Penang,204,1,0,1,0,1,0,0,0,0,0,0,237500
TAMAN INDERAWASIH,Perai,Penang,318,1,0,1,0,0,0,0,0,0,0,0,514000
BANDAR PERMATA LUNAS,Lunas,Kedah,172,1,0,1,0,1,0,0,0,0,0,0,412500
Vista Angkasa,Pantai,Kuala Lumpur,406,0,1,0,0,0,0,0,0,0,1,0,330000
1Medini,Iskandar Puteri (Nusajaya),Johor,366,1,0,0,0,0,0,0,0,0,0,1,370000
TAMAN MEDAN PASIR SAUJANA,Ipoh,Perak,336,1,0,1,0,0,0,0,0,0,0,0,559000
TAMAN GOPENG MEWAH,Gopeng,Perak,167,0,1,1,0,0,0,0,0,0,0,0,277235
TAMAN WIDURI,Sungai Jawi,Penang,224,1,0,1,0,0,0,0,0,0,0,0,260000
TAMAN INTAN DUYUNG,Port Dickson,Negeri Sembilan,150,0,1,1,0,0,0,0,0,0,0,0,220000
LAMAN HARIS @ ECO GRANDEUR,Ijok,Selangor,325,0,1,1,0,0,0,0,0,0,0,0,455000
TAMAN SRI CENDEKIA (TAMAN CONNAUGHT),Cheras,Kuala Lumpur,370,0,1,1,0,0,0,0,0,0,0,0,705000
Halaman Kenanga,Sungai Dua,Penang,375,0,1,0,0,0,0,0,0,0,1,0,250000
Taman Ketiau,Penampang,Sabah,284,0,1,0,0,0,0,0,1,0,0,0,190000
TAMAN DESA MELATI,Nilai,Negeri Sembilan,222,1,0,1,0,0,0,0,0,0,0,0,490000
TAMAN SEMARAK,Tawau,Sabah,205,0,1,1,1,0,0,0,0,0,0,0,200000
Mesahill,Nilai,Negeri Sembilan,446,1,0,0,0,0,0,1,0,0,0,0,260000
TAMAN DESA PAKATAN,Ipoh,Perak,216,0,1,1,0,0,0,0,0,0,0,0,188500
Amadesa Resort Condominium,Desa Petaling,Kuala Lumpur,323,0,1,0,0,0,0,0,0,0,0,1,350000
TAMAN WANGSA PERMAI,Kepong,Selangor,488,0,1,1,0,0,0,0,0,0,0,0,737000
SS15,Subang Jaya,Selangor,508,1,0,1,0,0,0,0,0,0,0,0,922500
Paradiso Nuova (Merak Kayangan),Iskandar Puteri (Nusajaya),Johor,485,1,0,0,0,0,0,0,0,0,0,1,708000
TAMAN KLEBANG PERDANA,Ipoh,Perak,364,1,0,1,0,0,0,0,0,0,0,0,513967
Mutiara Magna,Kepong,Kuala Lumpur,326,0,1,0,0,0,0,0,1,0,0,0,220000
Menara U,Shah Alam,Selangor,586,0,1,0,0,0,0,1,0,0,0,0,335000
TAMAN CASSIA BAHAU,Bahau,Negeri Sembilan,192,0,1,1,0,0,0,0,0,0,0,0,249000
Taman Merak Jaya,Simpang Ampat,Penang,186,1,0,0,0,0,0,0,1,0,0,0,100000
TAMAN MASJID TANAH PERDANA,Masjid Tanah,Melaka,128,1,0,0,0,1,0,0,0,0,0,0,410000
TAMAN FLORA HEIGHTS,Pasir Gudang,Johor,286,1,0,1,0,0,0,0,0,0,0,0,497250
Bayu Puteri 2,Johor Bahru,Johor,343,0,1,0,0,0,0,0,0,0,1,0,310000
TAMAN KERIAN INDAH,Parit Buntar,Perak,357,1,0,1,0,0,0,0,0,0,0,0,498800
TAMAN MERU PERDANA,Ipoh,Perak,305,1,0,1,0,0,0,0,0,0,0,0,406700
Sri Cempaka,Puchong,Selangor,471,1,0,0,0,0,0,0,0,0,1,0,380000
Vista Pinggiran Apartment,Seri Kembangan,Selangor,355,0,1,0,0,0,0,0,0,0,1,0,310000
SENTRAL BEHRANG,Ulu Bernam,Perak,285,0,1,1,1,0,0,0,0,0,0,0,398888
TAMAN RIMBA (PEC LOT 1135),Mentakab,Pahang,186,1,0,1,0,0,0,0,0,0,0,0,137000
TAMAN PENGKALAN SURIA,Ipoh,Perak,182,0,1,0,1,1,0,0,0,0,0,0,435240
SD Apartments II,Bandar Sri Damansara,Selangor,430,1,0,0,0,0,0,0,0,0,1,0,340000
TAMAN HIJRAH,Kapar,Selangor,355,1,0,1,0,0,0,0,0,0,0,0,450000
Taman Anika,Melaka City,Melaka,138,0,1,0,0,0,0,0,1,0,0,0,78000
ALAM DAMAI,Cheras,Kuala Lumpur,458,0,1,1,0,0,0,0,0,0,0,0,859000
TAMAN DESA TEKKAH SENTOSA,Taiping,Perak,367,0,1,1,0,0,0,0,0,0,0,0,468800
BANDAR UTAMA BATANG KALI,Batang Kali,Selangor,208,1,0,1,1,0,0,0,0,0,0,0,232500
Harmony View,Jelutong,Penang,560,1,0,0,0,0,0,0,0,0,1,0,378000
The Vyne,Sungai Besi,Kuala Lumpur,540,0,1,0,0,0,0,0,0,0,0,1,467500
TAMAN DESA,Muar,Johor,295,1,0,1,0,0,0,0,0,0,0,0,490000
TAMAN MAHSURI,Padang Serai,Kedah,208,1,0,1,0,0,0,0,0,0,0,0,270000
TAMAN NESA DELIMA,Rantau,Negeri Sembilan,143,1,0,0,0,1,0,0,0,0,0,0,401531
TAMAN SRI SENAI,Senai,Johor,278,1,0,1,0,0,0,0,0,0,0,0,280000
Taman Daya - Jalan Sagu 34,Tebrau,Johor,228,1,0,0,0,0,0,0,1,0,0,0,150000
TAMAN JENGKA SEJAHTERA (PT 29246),Chenor,Pahang,158,0,1,1,0,0,0,0,0,0,0,0,243750
ARC @ Austin Hills,Johor Bahru,Johor,506,1,0,0,0,0,0,1,0,0,0,0,360000
DESA LAHAT SRI -WANG,Lahat,Perak,267,0,1,1,0,0,0,0,0,0,0,0,318880
SEKSYEN 20,Petaling Jaya,Selangor,426,1,0,1,0,0,0,0,0,0,0,0,885000
TAMAN PLENTONG BARU,Masai,Johor,341,1,0,1,0,0,0,0,0,0,0,0,295000
TAMAN IMPIANA ADRIL,Lahat,Perak,184,0,1,1,0,0,0,0,0,0,0,0,250000
TAMAN PLATINUM (RESIDENSI GATE),Dengkil,Selangor,460,1,0,1,0,0,0,0,0,0,0,0,737800
SCIENTEX IPOH - BEGONIA,Ipoh,Perak,254,1,0,1,0,0,0,0,0,0,0,0,296800
TAMAN KLANG JAYA,Klang,Selangor,232,1,0,1,0,0,0,0,0,0,0,0,475000
TAMAN SRI LAYANG,Mentakab,Pahang,160,1,0,1,0,0,0,0,0,0,0,0,170000
TAMAN IPOH SELATAN,Ipoh,Perak,203,1,0,1,0,0,0,0,0,0,0,0,397500
TAMAN PERMAIPURA,Sungai Lalang,Kedah,150,1,0,1,0,0,1,0,0,0,0,0,240000
TAMAN RASAH JAYA I,Rasah,Negeri Sembilan,202,1,0,1,0,0,0,0,0,0,0,0,300000
TAMAN PANDAMARAN PERMAI/KOTA PENDAMAR,Klang,Selangor,312,1,0,1,0,0,0,0,0,0,0,0,420000
SETIA ECO GARDEN,Skudai,Johor,429,1,0,1,0,0,0,0,0,0,0,0,650000
TAMAN AMAN PUTRI,Sungai Buloh,Selangor,464,1,0,1,0,0,0,0,0,0,0,0,872000
TAMAN ARMANI SUNGAI PANDAN 2 (PL8492),Kuantan,Pahang,175,1,0,1,0,0,0,0,0,0,0,0,266500
TAMAN DAYA,Kepong,Selangor,515,0,1,1,0,0,0,0,0,0,0,0,550000
TAMAN PONTIAN PERDANA,Pontian,Johor,150,1,0,0,0,0,1,0,0,0,0,0,541600
Bukit Pandan Kondominium 1,Cheras,Kuala Lumpur,322,1,0,0,0,0,0,0,0,0,0,1,380000
TAMAN SRI MAWAR I,Seremban,Negeri Sembilan,182,1,0,1,0,0,0,0,0,0,0,0,250000
Apartment Dahlia,Serendah,Selangor,86,1,0,0,0,0,0,0,1,0,0,0,65000
TAMAN PELANGI [SIKAMAT],Sikamat,Negeri Sembilan,179,1,0,1,0,0,0,0,0,0,0,0,240000
Medini Signature,Iskandar Puteri (Nusajaya),Johor,505,1,0,0,0,0,0,0,0,0,0,1,814800
Taman Jati,Kulim,Kedah,206,1,0,0,0,0,0,0,1,0,0,0,120000
TAMAN KELISA RIA FASA 1,Sungai Petani,Kedah,153,1,0,1,0,1,0,0,0,0,0,0,250000
Tropicana Bay Residences,Bayan Lepas,Penang,688,1,0,0,0,0,0,0,0,0,0,1,595000
TAMAN MERBAU INDAH,Triang,Pahang,154,1,0,1,0,0,0,0,0,0,0,0,200000
The Place @ Cyberjaya,Cyberjaya,Selangor,304,1,0,0,0,0,0,1,0,0,0,0,170000
GEBENG RESIDENCE (P/L PT 25173),Sungai Karang,Pahang,169,0,1,1,0,0,0,0,0,0,0,0,238000
Bayu Tasik 1,Cheras,Kuala Lumpur,420,0,1,0,0,0,0,0,0,0,0,1,380000
JALAN INDAH,Sibu,Sarawak,119,0,1,1,0,0,0,0,0,0,0,0,267500
TAMAN KLUANG BARAT,Kluang,Johor,215,1,0,1,0,1,0,0,0,0,0,0,176500
TAMAN CASSIA CEMPAKA,Batu Kawan,Penang,395,1,0,1,0,1,0,0,0,0,0,0,625320
Molek Regency,Johor Bahru,Johor,536,1,0,0,0,0,0,1,0,0,0,0,580000
TAMAN BEMBAN RAYA,Batu Gajah,Perak,154,0,1,1,0,0,0,0,0,0,0,0,238000
TAMAN MIDAH,Cheras,Kuala Lumpur,490,1,0,1,0,0,0,0,0,0,0,0,815000
SHAHZAN,Kuantan,Pahang,210,1,0,1,0,0,0,0,0,0,0,0,310000
TAMAN DUSUN SETIA,Seremban,Negeri Sembilan,238,1,0,1,0,0,0,0,0,0,0,0,275000
KAMPUNG MERDEKA - TR 105,Batu Pahat,Johor,185,1,0,1,0,1,0,0,0,0,0,0,325000
TAMAN KEMPAS INDAH,Tebrau,Johor,333,1,0,1,1,0,0,0,0,0,0,0,644000
TAMAN KOPERASI POLIS FASA 2,Batu Caves,Kuala Lumpur,504,1,0,1,0,0,0,0,0,0,0,0,460000
TAMAN BATU GAJAH PERDANA,Batu Gajah,Perak,151,0,1,1,0,0,0,0,0,0,0,0,275000
Damiana,Ulu Bernam,Perak,230,1,0,0,0,0,0,0,0,0,1,0,163000
TAMAN LEMBAH PERMAI,Sungai Lalang,Kedah,147,1,0,1,0,0,0,0,0,0,0,0,230000
TAMAN BUKIT REBANA [SP HEIGHTS],Sungai Petani,Kedah,114,1,0,0,0,1,0,0,0,0,0,0,300000
Taman Mount Austin,Tebrau,Johor,438,1,0,0,0,0,0,0,1,0,0,0,250000
Sri Lempah,Taman Desa,Kuala Lumpur,353,0,1,0,0,0,0,0,1,0,0,0,197000
TAMAN SUBANG MEWAH,Subang Jaya,Selangor,370,0,1,1,0,0,0,0,0,0,0,0,665000
TAMAN LUMUT MEWAH 2,Lumut,Perak,263,1,0,1,0,0,0,0,0,0,0,0,418800
IRAMA SENDAYAN 2B,Labu,Negeri Sembilan,424,1,0,1,0,0,0,0,0,0,0,0,603444
U Garden Resort Condominium,Gelugor,Penang,457,1,0,0,0,0,0,0,0,0,0,1,260000
Danga View Apartment,Tampoi,Johor,340,1,0,0,0,0,0,0,0,0,1,0,420000
D'ISLAND RESIDENCE,Puchong,Selangor,510,1,1,1,0,0,0,0,0,0,0,0,929000
TAMAN PEKATRA INDAH,Simpang Ampat,Penang,201,0,1,1,0,0,0,0,0,0,0,0,280000
ECO GRANDEUR,Ijok,Selangor,438,0,1,1,0,0,1,0,0,0,0,0,700000
TAMAN LANG RESIDENCES,Ipoh,Perak,328,1,0,1,0,0,0,0,0,0,0,0,459800
ALAMANDA PARKLAND,Serendah,Selangor,397,1,0,1,0,0,0,0,0,0,0,0,475000
Residensi Warnasari 3,Bandar Puncak Alam,Selangor,257,0,1,0,0,0,0,0,0,0,1,0,185000
Sri Panglima,Johor Bahru,Johor,265,0,1,0,0,0,0,0,0,0,1,0,240000
TAMAN RAMBAI UTAMA,Tanjong Minyak,Melaka,200,1,0,1,0,0,0,0,0,0,0,0,240000
TAMAN JAYA UTAMA,Telok Panglima Garang,Selangor,302,1,0,1,0,0,0,0,0,0,0,0,385000
Danau Idaman,Taman Desa,Kuala Lumpur,422,0,1,0,0,0,0,0,0,0,0,1,395000
TAMAN ISKANDAR,Johor Bahru,Johor,257,1,0,1,0,1,1,0,0,0,0,0,744000
Ketumbar Hill,Cheras,Kuala Lumpur,367,1,0,0,0,0,0,0,0,0,0,1,350000
Birchwood Court,Rawang,Selangor,207,0,1,0,0,0,0,0,1,0,0,0,165000
TAMAN DESA ANGGERIK (PUTRA NILAI),Nilai,Negeri Sembilan,193,1,0,1,0,0,0,0,0,0,0,0,345000
The Peak Residences,Tanjong Tokong,Penang,544,1,0,0,0,0,0,0,0,0,0,1,570000
TAMAN SRI WANGSA II,Batu Gajah,Perak,191,0,1,1,0,0,0,0,0,0,0,0,229400
TAMAN VILLA MUTIARA INDAH,Sungai Bakap,Penang,246,1,0,1,0,1,0,0,0,0,0,0,670000
Zennith Suites (Pangsapuri Kebun Teh),Johor Bahru,Johor,488,0,1,0,0,0,0,0,0,0,1,0,225000
TAMAN RASAH JAYA V,Rasah,Negeri Sembilan,182,1,0,1,0,0,0,0,0,0,0,0,300000
PUTRAJAYA PRESINT 11,Putrajaya,Putrajaya,465,1,0,1,0,1,0,0,0,0,0,0,880000
Taman LTAT,Bukit Jalil,Kuala Lumpur,304,0,1,0,0,0,0,0,0,0,1,0,220000
TAMAN KRUBONG PERDANA,Krubong,Melaka,317,1,0,1,0,0,1,0,0,0,0,0,443800
TAMAN TANGGA BATU PERDANA,Tanjong Kling,Melaka,193,0,1,1,0,0,0,0,0,0,0,0,308000
DESA SETAPAK,Wangsa Maju,Kuala Lumpur,659,1,0,1,0,0,0,0,0,0,0,0,413500
"TAMAN LEKIR DAMAI, KAMPUNG KOH",Sitiawan,Perak,178,1,0,1,0,0,0,0,0,0,0,0,279400
TAMAN KLEDANG MAS,Ipoh,Perak,230,0,1,1,0,0,0,0,0,0,0,0,320000
TAMAN HALAMAN INDAH,Sungai Jawi,Penang,248,1,0,1,0,0,0,0,0,0,0,0,340000
TAMAN AMALINA LESTARI,Raub,Pahang,168,0,1,1,0,0,0,0,0,0,0,0,200000
TAMAN ANGGUN,Rawang,Selangor,409,1,0,1,0,0,0,0,0,0,0,0,837000
TAMAN TOK MUDA SEJAHTERA,Kapar,Selangor,295,1,0,1,0,0,0,0,0,0,0,0,378000
TABUAN JAYA,Kuching,Sarawak,216,0,1,1,0,1,0,0,0,0,0,0,625000
DIAMOND RESIDENCE,Semenyih,Selangor,366,1,0,1,0,1,0,0,0,0,0,0,675000
TAMAN SRI KLUANG,Kluang,Johor,210,1,0,1,0,0,0,0,0,0,0,0,307500
Flat Taman Alam Megah,Shah Alam,Selangor,280,1,0,0,0,0,0,0,1,0,0,0,169000
TAMAN MUDA,Ampang,Selangor,590,0,1,1,0,0,0,0,0,0,0,0,500000
TAMAN BIDARA,Bukit Mertajam,Penang,282,1,0,1,0,0,0,0,0,0,0,0,279000
TAMAN INTAN,Kluang,Johor,188,1,0,1,0,0,0,0,0,0,0,0,220000
Flat PKNS Section 7,Shah Alam,Selangor,330,0,1,0,0,0,0,0,1,0,0,0,230000
TAMAN SRI SENTOSA,Klang,Selangor,346,1,0,1,0,0,0,0,0,1,0,0,420000
Desa Lembah Permai,Ampang,Selangor,102,0,1,0,0,0,0,0,1,0,0,0,67000
TAMAN BAYU PERDANA,Klang,Selangor,368,1,0,1,0,0,0,0,0,0,0,0,560000
TAMAN DESA BUKIT PERMATA,Kapar,Selangor,191,1,0,1,0,0,0,0,0,0,0,0,460000
ARDEN HILL @SEREMBAN FOREST HEIGHTS,Ampangan,Negeri Sembilan,418,1,0,1,0,0,0,0,0,0,0,0,614500
SEKSYEN 17 SHAH ALAM,Shah Alam,Selangor,301,1,1,1,1,0,0,0,0,0,0,0,416000
TAMAN SUNGAI BESI INDAH,Seri Kembangan,Selangor,352,1,1,1,0,0,1,0,0,0,0,0,480000
TAMAN TAN SRI FUZI,Seri Iskandar,Perak,163,1,0,1,0,0,0,0,0,0,0,0,228000
Vista Mutiara,Kepong,Kuala Lumpur,364,0,1,0,0,0,0,0,0,0,1,0,379000
TAMAN SATRIA JAYA,Kuching,Sarawak,284,0,1,1,0,0,0,0,0,0,0,0,580000
MUKIM MACHANG,Machang,Kelantan,97,1,0,0,0,0,1,0,0,0,0,0,342500
TAMAN KELADI FASA 2,Sungai Petani,Kedah,176,1,0,1,0,0,0,0,0,0,0,0,215000
TAMAN MUHIBAH,Kulai,Johor,342,1,0,1,0,0,0,0,0,0,0,0,290000
Pinang Emas,Batu Ferringhi,Penang,304,1,0,0,0,0,0,0,0,0,1,0,170000
BANDAR BESTARI PERMAI,Kuala Ketil,Kedah,136,1,0,1,0,0,0,0,0,0,0,0,237500
Sri Kenari Apartment,Johor Bahru,Johor,350,0,1,0,0,0,0,0,1,0,1,0,320000
Taman Air Itam,Ayer Itam,Penang,402,1,0,0,0,0,0,0,1,0,0,0,270000
USJ 9,Subang Jaya,Selangor,484,1,0,1,0,0,0,0,0,0,0,0,850000
PERKAMPUNGAN SRI MAHKOTA AMAN,Kuantan,Pahang,156,1,0,1,0,0,0,0,0,0,0,0,250000
Dahlia,Serendah,Selangor,214,0,1,0,0,0,0,0,0,0,1,0,150000
PUNCAK BOUGAINVILLEA,Padang Rengas,Perak,187,1,0,1,0,0,0,0,0,0,0,0,274440
PERKAMPUNGAN KERTIH,Kerteh,Terengganu,83,1,1,0,0,1,1,0,0,0,0,0,360000
PJS 9,Bandar Sunway,Selangor,549,0,1,1,0,0,0,0,0,0,0,0,940000
BANDAR BARU KAMPAR,Kampar,Perak,195,0,1,1,0,0,0,0,0,0,0,0,272500
TAMAN MANTIN PUTRA,Mantin,Negeri Sembilan,160,1,0,1,0,1,0,0,0,0,0,0,550000
TAMAN TUNKU SARINA,Jitra,Kedah,182,1,0,1,0,0,0,0,0,0,0,0,325000
TAMAN INDAH PERMAI,Kota Kinabalu,Sabah,335,0,1,1,0,0,0,0,0,0,0,0,520000
Bandar Tasik Selatan (Low Cost),Bandar Tasik Selatan,Kuala Lumpur,282,0,1,0,0,0,0,0,1,0,0,0,190000
TAMAN PAKATAN JAYA,Tambun,Perak,245,0,1,1,0,0,0,0,0,0,0,0,302500
D'Esplanade Residence,Johor Bahru,Johor,673,1,0,0,0,0,0,1,0,0,0,0,550000
TAMAN BAKTI [YNS],Labu,Negeri Sembilan,67,1,0,1,0,0,0,0,0,0,0,0,80000
RPA RIMBA PANJANG,Sungai Siput,Perak,77,0,1,1,0,0,0,0,0,0,0,0,115000
Metropolitan Square,Damansara Perdana,Selangor,445,0,1,0,0,0,0,1,0,0,0,0,460000
Fair View Apartment,Permas Jaya,Johor,342,1,0,0,0,0,0,0,0,0,1,0,360000
Atlantis Residences (Pangsapuri Atlantis Kota Syahbandar),Melaka City,Melaka,457,0,1,0,0,0,0,1,0,0,0,0,330000
Putra Damai,Putrajaya,Putrajaya,357,1,0,0,0,0,0,0,1,0,0,0,250000
TAMAN BUKIT MEWAH,Tampoi,Johor,415,1,0,1,0,0,0,0,0,0,0,0,540000
TAMAN TASIK PERDANA,Pengkalan Hulu,Perak,157,0,1,1,0,0,0,0,0,0,0,0,188000
Desa Pinang 2,Jelutong,Penang,423,0,1,0,0,0,0,0,1,0,0,0,257500
TAMAN DELIMA,Kluang,Johor,153,1,0,1,0,1,1,0,0,0,0,0,360000
UDA UTAMA,Skudai,Johor,324,1,0,1,0,0,1,0,0,0,0,0,600000
Flat Taman Pelangi Indah,Ulu Tiram,Johor,228,1,0,0,0,0,0,0,1,0,0,0,150000
M'tiara,Johor Bahru,Johor,420,0,1,0,0,0,0,0,0,0,1,0,420000
Taman Bukit Jambul,Bukit Jambul,Penang,311,1,0,0,0,0,0,0,1,0,0,0,263000
TAMAN BERTAM SETIA,Tanjong Minyak,Melaka,203,1,0,1,0,1,0,0,0,0,0,0,344000
TAMAN GUAR PERAHU (TAMAN BERKAT),Kubang Semang,Penang,241,1,0,1,0,0,0,0,0,0,0,0,292500
TAMAN RAIA SENTOSA (PRIMA SUNGAI RAYA),Simpang Pulai,Perak,219,0,1,1,0,0,0,0,0,0,0,0,285000
TAMAN TUALANG INDAH,Mentakab,Pahang,144,1,0,1,0,0,0,0,0,0,0,0,210000
TAMAN MERU 2B (FASA I-IV),Ipoh,Perak,247,0,1,1,0,0,0,0,0,0,0,0,280000
TAMAN KEMPAS,Tampoi,Johor,311,1,0,1,0,0,0,0,0,0,0,0,390000
TAMAN RIANG DIAWAN,Kampar,Perak,171,0,1,1,0,0,0,0,0,0,0,0,239800
Sandilands,Georgetown,Penang,623,1,0,0,0,0,0,0,0,0,0,1,838000
TAMAN SERI MENGKUANG,Kuala Selangor,Selangor,222,1,0,1,0,0,0,0,0,0,0,0,342500
TAMAN SAGA,Kulim,Kedah,166,1,0,1,0,1,0,0,0,0,0,0,269500
TAMAN CASSIA,Alor Setar,Kedah,117,1,0,0,0,1,0,0,0,0,0,0,300000
TAMAN SCIENTEX SENAI,Senai,Johor,446,1,0,1,0,0,0,0,0,0,0,0,480000
TAMAN KIEN LEONG/KIM CHUAN,Klang,Selangor,325,1,0,1,0,0,0,0,0,0,0,0,500000
BANDAR SRI INDAH,Tawau,Sabah,169,0,1,1,0,0,0,0,0,0,0,0,385000
TAMAN SRI ANGGERIK,Rantau,Negeri Sembilan,122,1,1,1,0,0,0,0,0,0,0,0,190000
TAMAN ANGGERIK,Tampoi,Johor,357,1,0,1,0,0,0,0,0,0,0,0,335000
TTDI JAYA,Shah Alam,Selangor,382,1,0,1,0,0,0,0,0,0,0,0,600000
SuriaMas Suites,Johor Bahru,Johor,426,0,1,0,0,0,0,1,0,0,0,0,400000
Lakeview Apartments,Selayang,Selangor,324,0,1,0,0,0,0,0,0,0,1,0,282500
